index,name,url_token,headline,follower_count,gender,answer_count,sideItem
0,故事档案局,gu-shi-dang-an-ju-71,,23343,-1,500,
1,北京互联网法院,bei-jing-hu-lian-wang-fa-yuan,,38270,-1,0,
2,邱晨,heretic,以设计为生，以辩论为乐,162106,0,42,
3,梁建章,tian-xu-72-17,旅行，创新,229,1,1,
4,知乎旅行,zhi-hu-lu-xing-96,玩转世界的另一种视角,78072,-1,1,
5,林军,lin-jun,一互联网老兵，雷锋网总打杂,10826,-1,17,
6,吴刚,xiao-meng-meng-61-91,,10094,1,1,
7,最高人民检察院,zui-gao-ren-min-jian-cha-yuan,,99929,-1,0,
8,阿詹,a-zhan-40,青云大仙,20527,0,10,
9,知乎小知,zhi-hu-xiao-zhi-80,小知是刚刚诞生的人工智能，希望和你一起探索更大的世界,843,-1,8,
10,阿乐,a-le-85-17,互联网,163,1,9,
11,盐选科普,yan-xuan-ke-pu-28,,13384,-1,358,
12,人民网,ren-min-wang,权威实力 源自人民,49567,-1,35,
13,张雪峰老师,zhang-xue-feng-lao-shi-88,知名教育博主,10189,1,2,
14,人民政协报,ren-min-zheng-xie-bao,,47873,-1,5,
15,知乎好物推荐,zhi-hu-hao-wu-tui-jian,帮助知友买到心仪好物,187664,-1,0,
16,朱一旦的枯燥生活,gen-gen-74,黑色幽默 感谢关注！,120788,1,19,
17,Alex waker,waker-alex,公众号：Alex_waker    你的偷心人,132924,1,500,
18,二哥评车,er-ge-ping-che,快手说车第一人,1430,-1,1,
19,知乎考研,zhi-hu-kao-yan,考研路上，看看知乎,14840,-1,40,
20,稚晖,zhi-hui-64-54,AI工程师/手动档钢铁侠/Arduino版主/爱玩硬件,31499,1,16,
21,最美应用,zuimeia,公众号：最美应用，欢迎关注,18367,0,201,
22,KnowYourself,knowyourself-1,关注自我和内心，觉察即自由。,1451625,-1,1188,
23,郑亚旗,zheng-ya-qi-52,CEO\创业\摄影\潜水\极限运动\家庭教育\数码控,41019,1,57,
24,何宽,he-kuan,信息不对称才是商业社会的核心。,5933,1,45,
25,阿詹,a-zhan-40,青云大仙,20527,0,10,
26,方可成,fangkc,宾大博士生，前《南方周末》记者，政见CNPolitics发起人,57362,1,124,
27,羊葛莉,yang-ge-li-42,長期偏頭痛,508,-1,0,
28,东七门,zhao-yang-gong-yuan-dong-qi-men-er,"微信公众号 : dongqimen , 年轻人独特的观点聚集地  ",15862,-1,30,
29,Kyle君,mingkyle420,The Journey is the Reward.,9011,1,5,
30,扭蛋机,Kriscdx,影迷，封面出自《乱れる》。,11677,1,28,
31,周玄毅,zhou-xuan-yi-85,二手哲学家,12543,1,1,
32,lu hu,lu-hu-10-73,报出名号吓死你,326,0,25,
33,汪有,wang-you-28,汪有，啥都有,176129,1,233,
34,谢熊猫君,xiepanda,公众号：谢熊猫君（ID: mrxiexiongmao）,494700,1,462,
35,周源,zhouyuan,知乎 001 号员工,981390,1,350,
36,带三个表,wangxiaofeng,没帮助，气死你。,318174,1,2323,
37,纪小城,ji-xiao-cheng-83,稍后介绍,95,1,1,
38,庞颖,pang-ying-95,真理 光明 自由,28355,0,61,
39,jasonfu,jasonfu,Master Candidate in HCI,153,1,14,
40,故事档案局,gu-shi-dang-an-ju-71,,23344,-1,500,知乎 官方帐号
41,北京互联网法院,bei-jing-hu-lian-wang-fa-yuan,,38270,-1,0,已认证的官方帐号
42,邱晨,heretic,以设计为生，以辩论为乐,162106,0,42,邱晨，奇葩说辩手、米果文化联合创始人
43,梁建章,tian-xu-72-17,旅行，创新,229,1,1,携程集团 联合创始人、董事局主席
44,知乎旅行,zhi-hu-lu-xing-96,玩转世界的另一种视角,78072,-1,1,已认证的官方帐号
45,故事档案局,gu-shi-dang-an-ju-71,,23347,-1,500,知乎 官方帐号
46,北京互联网法院,bei-jing-hu-lian-wang-fa-yuan,,38270,-1,0,已认证的官方帐号
47,邱晨,heretic,以设计为生，以辩论为乐,162106,0,42,邱晨，奇葩说辩手、米果文化联合创始人
48,梁建章,tian-xu-72-17,旅行，创新,229,1,1,携程集团 联合创始人、董事局主席
49,知乎旅行,zhi-hu-lu-xing-96,玩转世界的另一种视角,78071,-1,1,已认证的官方帐号
50,林军,lin-jun,一互联网老兵，雷锋网总打杂,10826,-1,17,0
51,吴刚,xiao-meng-meng-61-91,,10096,1,1,演员
52,最高人民检察院,zui-gao-ren-min-jian-cha-yuan,,99948,-1,0,已认证的官方帐号
53,阿詹,a-zhan-40,青云大仙,20528,0,10,奇葩说辩手 詹青云
54,知乎小知,zhi-hu-xiao-zhi-80,小知是刚刚诞生的人工智能，希望和你一起探索更大的世界,844,-1,8,已认证的官方帐号
55,阿乐,a-le-85-17,互联网,163,1,9,0
56,盐选科普,yan-xuan-ke-pu-28,,13385,-1,358,知乎 官方帐号
57,人民网,ren-min-wang,权威实力 源自人民,49567,-1,35,已认证的官方帐号
58,张雪峰老师,zhang-xue-feng-lao-shi-88,知名教育博主,10189,1,2,研途考研 VIP 名师，微博知名教育博主
59,人民政协报,ren-min-zheng-xie-bao,,47873,-1,5,已认证的官方帐号
60,知乎好物推荐,zhi-hu-hao-wu-tui-jian,帮助知友买到心仪好物,187664,-1,0,已认证的官方帐号
61,朱一旦的枯燥生活,gen-gen-74,黑色幽默 感谢关注！,120801,1,19,0
62,Alex waker,waker-alex,公众号：Alex_waker    你的偷心人,132925,1,500,0
63,二哥评车,er-ge-ping-che,快手说车第一人,1430,-1,1,快手说车主播
64,知乎考研,zhi-hu-kao-yan,考研路上，看看知乎,14841,-1,40,已认证的官方帐号
65,稚晖,zhi-hui-64-54,AI工程师/手动档钢铁侠/Arduino版主/爱玩硬件,31499,1,16,oppo 算法工程师
66,最美应用,zuimeia,公众号：最美应用，欢迎关注,18367,0,201,0
67,KnowYourself,knowyourself-1,关注自我和内心，觉察即自由。,1451630,-1,1188,已认证的官方帐号
68,郑亚旗,zheng-ya-qi-52,CEO\创业\摄影\潜水\极限运动\家庭教育\数码控,41019,1,57,0
69,何宽,he-kuan,信息不对称才是商业社会的核心。,5933,1,45,0
70,阿詹,a-zhan-40,青云大仙,20528,0,10,奇葩说辩手 詹青云
71,方可成,fangkc,宾大博士生，前《南方周末》记者，政见CNPolitics发起人,57362,1,124,宾夕法尼亚大学 传播学博士在读
72,羊葛莉,yang-ge-li-42,長期偏頭痛,508,-1,0,0
73,东七门,zhao-yang-gong-yuan-dong-qi-men-er,"微信公众号 : dongqimen , 年轻人独特的观点聚集地  ",15862,-1,30,已认证的官方帐号
74,Kyle君,mingkyle420,The Journey is the Reward.,9011,1,5,网易 品牌策划
75,扭蛋机,Kriscdx,影迷，封面出自《乱れる》。,11677,1,28,0
76,周玄毅,zhou-xuan-yi-85,二手哲学家,12543,1,1,0
77,lu hu,lu-hu-10-73,报出名号吓死你,326,0,25,0
78,汪有,wang-you-28,汪有，啥都有,176131,1,233,0
79,谢熊猫君,xiepanda,公众号：谢熊猫君（ID: mrxiexiongmao）,494700,1,462,0
80,周源,zhouyuan,知乎 001 号员工,981390,1,350,知乎 创始人 & CEO
81,带三个表,wangxiaofeng,没帮助，气死你。,318174,1,2323,0
82,纪小城,ji-xiao-cheng-83,稍后介绍,95,1,1,0
83,庞颖,pang-ying-95,真理 光明 自由,28358,0,61,《奇葩说》辩手
84,jasonfu,jasonfu,Master Candidate in HCI,153,1,14,0
85,鱼丸,therefishball,什么也不是生活的全部,283749,0,73,优秀回答者
86,Luke LOU,lukelou,地理学，撰稿人，文博控，在路上,155926,1,62,优秀回答者
87,星球研究所,xing-qiu-yan-jiu-suo,一群国家地理控，专注于探索极致世界。文章首发同名公众号,156013,1,91,0
88,嘻ha旅行,xi-halu-xing-40,年轻人的旅行家 | 微信公众号：嘻ha旅行,21487,-1,95,已认证的官方帐号
89,狐吃狐玩,hu-chi-hu-wan,,513,-1,31,已认证的官方帐号
90,知乎亲子,zhi-hu-qin-zi,陪你一起长大,843425,-1,4,已认证的官方帐号
91,知乎校园,zhi-hu-xiao-yuan-46,发现更大的世界,1402938,-1,19,已认证的官方帐号
92,刘看山,liu-kan-shan-78,知乎吉祥物，带你发现更有趣的知乎,8137218,1,78,北极狐，知乎全职吉祥物
93,大壮,gogobigz,折腾一家营销机构,141887,1,55,优秀回答者
94,与人为善,scorpioseer,出柜/曾带宠物开房车环游过中国/文博控/兴趣广泛/特长很多,44750,1,446,0
95,旅行小管家,lucyttt,攻略小能手，旅行小管家，发射爱与自由的电波~~~,16,0,0,0
96,知乎萌宠,zhi-hu-meng-chong,爱干净、会埋屎、能卖萌,645179,-1,1,已认证的官方帐号
97,知乎职场,zhi-hu-zhi-chang,知乎职场，给你职场「知」招,1598107,-1,35,已认证的官方帐号
98,丁吉昌,dingjichang,大宇无限创始人/CEO，前豌豆荚创始成员,4652,1,14,0
99,贾扬清,jiayangqing,关注人工智能，大数据和产业解决方案,73230,1,66,优秀回答者
100,黄劼,saintknight,JAVA开发,110,1,58,上海宝信软件股份有限公司 研发经理
101,曲凯,kaiqu,海归创投人。42章经（ID：MyFortyTwo）有企图心的人都在关注这个公号,127586,1,160,优秀回答者
102,耐久,luo-lan-63-22,,27105,1,27,优秀回答者
103,周翔,xiang-zhou-116,"华兴Alpha总负责人, alpha.huaxing.com",4073,1,6,0
104,杨扬,yang-yang-4-75,在寻找自己的路上/ VC槛内人,9571,0,63,0
105,李江,li-jiang-96,变革家/科方基金合伙人 投资案例：童办、闪电刷新、万超帮、蜂狂运动。,1007,1,27,0
106,袁媛,yuanyuanblue,"When the going gets tough ,the tough gets going .",2797,0,1,0
107,陈悦天,vincentskywalker,@VincentSkywalker,19913,1,186,宁波辰海星河投资管理有限公司 合伙人
108,allen,xiaoyu-x,创业中 ，前华为工程师， http://weibo.com/1652971961,8331,-1,288,0
109,随时ok,qian-zhuo-ren,勤能补拙。,7,1,7,0
110,王策,wang_ce,VC/PE投资，关注互联网、金融、科技等方向,290,-1,11,0
111,李晓宁,li-xiao-zhu-85-15,创投圈 创始人CEO,3565,1,19,0
112,陈昊芝,haozhi,触控科技创始人、Cocos游戏引擎、连续创业者,39317,1,46,0
113,戴周颖,Joeydai,@VC也疯狂,1241,1,41,0
114,高翔,gao-xiang,,4714,-1,7,0
115,胡维,whale,前知乎员工,128990,1,619,0
116,王求乐Albert,wang-qiu-le-albert,苦逼投资人/Geeker知友,310,1,21,0
117,申华章,hzshen,创业就是做点与众不同的事情。,9402,1,387,0
118,汪有,wang-you-28,汪有，啥都有,176131,1,233,0
119,庞颖,pang-ying-95,真理 光明 自由,28358,0,61,《奇葩说》辩手
120,小状师张,q.zhang,非常熟悉西方的那一套理论,53526,1,0,0
121,执墨,zhi-mo-92-95,,154,0,1,0
122,凌云,LINGZHANGYUN,自由记者，半虚构写手,16326,1,2,0
123,太太,tai-tai-89-3,万古千秋,79,1,236,0
124,兴哥,xingge2019,资深投资人，国家高级理财规划师,7665,1,40,0
125,飞天猪,gao-zhan-73-24,,4,1,71,0
126,冯小疯,feng-xiao-feng-1-91,,1,-1,0,0
127,加拿大卖马哥,Englishmentor,多村直男，加拿大韬叔VX: Wentao0101gmail,5498,1,740,0
128,迈凯轮的小范,itachi-kuchiki,汽修小师傅,79,1,10,0
129,Fy atto,chu-jian-qing-xin-bu-ru-jiu-chu-bu-yan,,815,0,1,0
130,柴林,Lynn-chai,"Designer, Outsider",386,1,90,0
131,莱莱,lai-lai-97-31,其实我是个小姐姐,252,0,4,0
132,小曲儿啵啵啵,xie-yu-58-75-5,自甘堕落,7534,0,103,0
133,袁霄霄律师,yuan-xiao-xiao-57,律师 写作 法律咨询,7491,1,170,陕西海普睿诚律师事务所 执业律师
134,健康追逐者,jian-kang-zhui-zhu-zhe-luo-bu-si-13,在阳光下，一路向希。,904,1,6,0
135,只有三分钟的赛雷,sl3min,公众号：赛雷三分钟,216673,-1,0,科普畅销书作家
136,盐选科普,yan-xuan-ke-pu-28,,13385,-1,358,知乎 官方帐号
137,陈楸帆,chenqiufan,Be (Virtually) Real.,24867,1,239,著名科幻作家，代表作品：《迷幻史》《荒潮》《未来病史》《人生算法》等
138,川戈,hong-jiu-kao-ya-29,原名【红酒烤鸭】／前特稿记者 / 故事的掘墓人,101331,1,80,0
139,白杨,brucebai,北京，杭州,1048,1,42,0
140,沈夏冰,shen-xia-bing,营养师终究会获得社会的认可,44329,1,125,0
141,温义飞,wen-yi-fei-31,用过都说好。,421059,1,123,优秀回答者
142,共青团中央,gong-qing-tuan-zhong-yang-67,共青团中央知乎官方帐号,865700,1,378,共青团中央 官方帐号
143,知乎机构号团队,St.Pancras,我有 30000+ 个小伙伴，超厉害,91900,0,7,知乎 官方帐号
144,朱一旦的枯燥生活,gen-gen-74,黑色幽默 感谢关注！,120804,1,19,0
145,木瓜吃不胖,wmys,不求光芒万丈，只求光吃不胖！,13190,0,100,0
146,识食务者,wormhole2,硬核科学吃货 | 淘宝请搜：识食务者 | 进群请加同名公众号,102166,1,90,0
147,Meika大喵子,mae-feng,个人公号可搜：mae_zihigh,6101,0,97,0
148,k3爷,lee233333-28,摄影，护肤，美食，爱生活,4936,1,35,0
149,囊中小夕,yan-xi-xiao-ming,公众号：囊中小夕。只分享干货内容，关于女生变美/成长那些事。,75684,0,80,0
150,珑珑go,leonalung,同名公众号：珑珑go | 温柔、坚定、又好看，但能吃。,31323,0,41,科技盐究员
151,蓝大仙人,lan-da-xian-55,智能电视选购，接受私信付费咨询,32850,1,611,科技盐究员
152,Derrick Zhang,bigface-62,作家、摄影师、果核Group主编,139897,1,109,0
153,长亭Time,changting-Time,电子产品爱好者，不负关注不忘回复,10073,1,168,0
154,Navis Li,navisli,消费电子产品评测，不敢妄言，不愿强答，新能源车主,125920,1,294,科技盐究员
155,Edwin,dredwin,牙齿矫正话题热心网友,50981,1,2124,优秀回答者
156,超哥,guoyachao,专注跨境电商，回到跨境电商的源头，去开荒。,18502,1,201,海外电商负责人
157,Madao,a-ding-a,公众号：Madao不开花。只是一个Madao罢了～,14036,0,77,0
158,夜礼服拉面,1999hong-hong-huo-huo,生活支线玩家,7524,-1,166,0
159,雪球妈妈,gunxueqiu,公众号：雪球妈妈，陪宝贝一起成长的妈妈。,75263,0,1705,0
160,陈大可,chen-qi-69-43-69,育儿快乐成长，职场全力以赴，10年德系汽车营销经验,69409,0,325,0
161,云女友,tan-xia-miao,公众号：女朋友教你穿衣服,64561,0,92,0
162,沈少Neo,chen-shao-neo,数码、腕表、车、极简生活家。,61015,1,1079,科技盐究员
163,木子加加,mu-zi-jia-jia-92-50,爱读书，爱分享的非IT男,25949,1,123,什么值得买 生活家
164,半佛仙人,banfoxianren,我看诸君皆装逼，料诸君看我应如是,323136,1,1143,0
165,知乎视频,zhi-hu-shi-pin,看见、记录、分享更大的世界。,4628,-1,0,已认证的官方帐号
166,周源,zhouyuan,知乎 001 号员工,981390,1,350,知乎 创始人 & CEO
167,刘看山福利社,-7,原「刘看山城市冰屋」，天气暖了冰屋化了，不定期派送福利,102322,-1,67,已认证的官方帐号
168,知乎小管家,zhihuadmin,超厉害！顺便招运营人才和其他各类人才。,328389,1,69,知乎 官方帐号
169,知乎好物推荐,zhi-hu-hao-wu-tui-jian,帮助知友买到心仪好物,187665,-1,0,已认证的官方帐号
170,盐选推荐,zhujiangren,为你推荐知乎优质付费内容,1572368,-1,43827,知乎 官方帐号
171,丁三胖,ding3p,公众号：丁凡的奇妙世界,47171,1,301,0
172,共青团中央,gong-qing-tuan-zhong-yang-67,共青团中央知乎官方帐号,865700,1,378,共青团中央 官方帐号
173,导演张小策,huang-yuan-lang-81,朱一旦的枯燥生活，C座802，编剧/导演,15146,1,21,0
174,麦龟迪,chen-di-hui,"王者荣耀S13荣耀王者79星
公众号：手游最攻略",65227,0,20,0
175,章小殷,zhang-xiao-yin-7,传统旗袍制作者,128,0,0,0
176,lina,lina-42-81-77,好好学习，天天向上,364,0,615,乌鲁木齐市第三小学 信息技术教师
177,O泡裹奶,opao-guo-nai-86-60,小仙女本仙呀！,1,0,1,0
178,楠楠丫,nan-nan-ya-96-80,,15,-1,0,0
179,鸭子姐姐,yi-chun-gong-zuo-shi,温柔的姐姐，为空姐正名，不乱～,344,0,128,0
180,酒窝,ulrica-68-66,,26,0,0,0
181,Final海莉,finalhai-li,What？您关注如此凶残又才华貌美的我！那我得是多可爱！耶！,177,0,4,0
182,拉克丝,teeeeee-72,we are in a dream anyway,96,0,12,0
183,美少女Lilya,mei-shao-nu-lilya,MBA在读、雅思备考待留学、原某上市公司管培生,5628,0,5,大连海事大学 管理学硕士在读
184,羊羊,wang-pei-yang-31,,22,0,0,0
185,陆某某,lu-mou-mou-69-25,,33,-1,0,0
186,fainie,fainie-42,,71,-1,0,0
187,腾讯医典,teng-xun-yi-dian,为大众而生的专业医典,15393,-1,48,已认证的官方帐号
188,Lydia Yang,Alphia,愚蠢是个道德问题。,9562,0,157,0
189,戴雨森,yusen,真格基金合伙人，聚美优品联合创始人,62502,1,155,真格基金 合伙人
190,贾樟柯,jia-zhang-ke-45,欢迎关注微信「柯首映」,135258,1,6,电影导演
191,知乎好物推荐,zhi-hu-hao-wu-tui-jian,帮助知友买到心仪好物,187665,-1,0,已认证的官方帐号
192,大象公会,da-xiang-gong-hui-12,精 神 食 粮,75844,-1,390,已认证的官方帐号
193,毕导,bi-xiao-tian-99,膜技术博士，欢迎关注同名公众号“毕导”,293153,1,159,清华大学 化学工程系博士在读
194,冯不悔,feng-bu-hui-53,亲 关注我 三天后告诉你一个小秘密哦  商务合作可私聊,54463,1,735,0
195,知乎故事大赛,gu-shi-dang-an-ju,,5156,-1,0,已认证的官方帐号
196,快手镜相,kuai-shou-jing-xiang,用科技提升每个人独特的幸福感,22197,-1,64,已认证的官方帐号
197,清欢,mayfly-71-77,,2758,1,25,0
198,考研老冰棍,kao-yan-lao-bing-gun,帅炸宇宙の某211研究生,9598,1,120,0
199,见山,jianshanjiaoyu,P大研二/前XDF考研写作讲师,30869,1,58,北京大学 城市与环境学院硕士在读
200,半夏学长,jin-yi-hao-54,,50181,1,31,0
201,张雪峰老师,zhang-xue-feng-lao-shi-88,知名教育博主,10189,1,2,研途考研 VIP 名师，微博知名教育博主
202,自己个儿,wang-ni-mei-60,西安交大电气工程硕士。熟悉电气考研择校和规划，国网招聘,1787,1,180,电气工程硕士在读
203,经验超市考研,jing-yan-chao-shi,领先的考研专业课辅导品牌,1450,-1,53,已认证的官方帐号
204,弗兰克扬,fu-lan-ke-yang,一个写作就是为了自引的人,266438,1,823,0
205,严徒,hmusicman,考研达人，尊为考神,4731,1,31,中山大学 交互设计硕士
206,大闸蟹i,da-zha-xie-i,超腻害の英语老师：dazhaxie1949,15502,0,152,0
207,白小鱼,youngfish42,机器学习 | 计算机视觉 | 生物 | 边缘计算,12288,1,134,上海交通大学 电子与信息博士在读
208,郭某某,guo-zi-tong-93-14,原高校教师、中国计算机学会会员，擅长创业、计算机、升学规划。,1022,1,123,0
209,考研政治吴坤宇,kao-yan-zheng-zhi-wu-kun-yu-30,一个不那么有名的考研政治名师。,3267,1,129,武汉理工大学 马克思主义理论硕士
210,Mr.Nacky,ruan-jia-rong,健身小白，歌唱达人！,6878,1,60,北京科技大学 翻译硕士在读
211,Sparkler,yin-yixin-7,批判的武器不能代替武器的批判,176,1,15,武汉理工大学 环境工程硕士在读
212,郭二二不二,guo-xiao-chi-19,这个好好吃呀,1357,0,57,0
213,缺月疏桐,que-yue-shu-tong-13,CS硕士 CV AI 足球 游戏,3677,1,83,0
214,小蛋卷DeeJane,deejane0104,我女神叫Taylor Swift,70,0,10,0
215,英语杂货铺,ting-yuan-shen-shen-shen-ji-xu-70,南京师范大学英语系博士(语言学/CDA),9500,1,191,南京师范大学 英语语言文学博士在读
216,花花师姐,wei-wei-45-51-48,喝哇哈哈长大的刀子嘴豆腐心的可爱善良的学姐,978,0,168,0
217,刘看山,liu-kan-shan-78,知乎吉祥物，带你发现更有趣的知乎,8137243,1,78,北极狐，知乎全职吉祥物
218,winningman,zhang-li-53-12-93,半导体行业从业者,62613,1,41,科技盐究员
219,刘慈欣,liu-ci-xin-68,工程师，作家,93598,1,0,中国科幻作家
220,浣熊队长,wan-xiong-dui-chang-96,你可拉倒吧,1305,1,113,0
221,贾扬清,jiayangqing,关注人工智能，大数据和产业解决方案,73230,1,66,优秀回答者
222,Lele Feng,lele-feng-15,喜欢图形学,10048,0,8,0
223,楠爷,evenstar,,402419,1,395,优秀回答者
224,学写作的丧失,zombiewriter,zombiewriter,138734,1,858,0
225,Maker毕,anderson-76,清华创客空间创始人/爱搞小发明/STEM教育从娃娃抓起,3925,1,39,网易有道 教育项目经理
226,张汉东,blackanger,资深工程师/  技术作家 / 青少年教育创业者,27220,1,1828,0
227,周源,zhouyuan,知乎 001 号员工,981390,1,350,知乎 创始人 & CEO
228,罗福莉,fuliluo,正在找工作的程序媛....,6185,0,9,北京大学 信息科学技术学院硕士在读
229,灵剑,ling-jian-94,微博一般不上 http://weibo.com/hubo1016,75418,1,3640,优秀回答者
230,丁香医生,ding-xiang-yi-sheng,有温度、有知识、有态度，新一代大众健康科普。,2513450,-1,622,已认证的官方帐号
231,量子位,liang-zi-wei-48,有趣的AI&amp;前沿科技→_→ 公众号：QbitAI,212865,-1,254,已认证的官方帐号
232,邱昊宇,timothyqiu,打杂程序员,6586,1,436,优秀回答者
233,马前卒,ma-qian-zu,山楂糕、枣泥饼、酸奶冰棍 ——微信公众号【马前卒工作室】,465732,1,1932,0
234,田渊栋,tian-yuan-dong,Facebook人工智能研究院研究员/研究经理，卡耐基梅隆大学机器人系博士,97032,1,43,优秀回答者
235,TimberNord,timbernord,公众号:海鲜冷冻厂,50213,1,44,0
236,老狼,mikewolfwoo,"UEFI固件、服务器、嵌入式产品
(公众号:UEFIblog)",143009,1,258,科技盐究员
237,WPS Office,wps-office,简单创造不简单,66331,-1,155,已认证的官方帐号
238,知群,zhi-qun-90,互联网人的知识社群,4216,-1,119,已认证的官方帐号
239,知群增长研究院,zeng-chang-zhen-tan-she,专注产品推广，行业深入研究，资讯抢先播报,215,1,5,0
240,Photograph Jun,zhu-sheng-jun-80,心中有情，下笔如风,439,1,42,0
241,废熊,wang-zhi-heng-87,听说，两个人在一起睡觉，总会有一个人会比另一个先睡着。,5927,1,85,0
242,喻忘忧,Hemerocallis-Yu,值乎打开有问题，求助请私信,136168,0,422,0
243,小鹿,you-wu-jun-77,美学爱好者 有趣话多路子野,64737,0,70,0
244,陈希 Chris,chenxi,,13559,1,8,0
245,金釗立,godling,修行中,252261,1,591,优秀回答者
246,MoonMonster,moonmonster,长文流... www.jianjia360.com,118320,1,36,优秀回答者
247,尤文文,youwenwen,设计师 Yoyo,161373,1,141,优秀回答者
248,elya,elya,落花流水elya妞~,152803,0,121,0
249,Riceman 米饭侠,riceman,设计师，播客《UX Coffee 设计咖》制作人,58331,1,23,优秀回答者
250,胡点Vivian,hudian,不知老之将至,23848,0,83,0
251,罗飞,luo-fei-77,过气的谐星，永远的陡逼,16544,1,100,0
252,吞茶嚼花,tcjh,故事真的不缺。,108496,1,71,0
253,刘少楠,plidezus,产品设计/重度科幻迷/书虫/互联网医疗,3812,1,21,丁香医生 首席产品架构师
254,5key,5key,阿里巴巴设计中台团队招聘设计师,20933,1,142,用户体验设计师
255,周北树,clearstars,Love Peace Music,131224,1,100,优秀回答者
256,江涛,jiangtao,雪球004号员工,3507,1,64,0
257,PeterLee龍羿,peterleelong-yi,前Keep總主筆/網文作者/漢字搬運工/AEON優秀員工,14313,1,938,永旺商业有限公司 食品部职员
258,故事档案局,gu-shi-dang-an-ju-71,,23349,-1,500,知乎 官方帐号
259,北京互联网法院,bei-jing-hu-lian-wang-fa-yuan,,38270,-1,0,已认证的官方帐号
260,邱晨,heretic,以设计为生，以辩论为乐,162106,0,42,邱晨，奇葩说辩手、米果文化联合创始人
261,梁建章,tian-xu-72-17,旅行，创新,230,1,1,携程集团 联合创始人、董事局主席
262,知乎旅行,zhi-hu-lu-xing-96,玩转世界的另一种视角,78071,-1,1,已认证的官方帐号
263,林军,lin-jun,一互联网老兵，雷锋网总打杂,10826,-1,17,0
264,吴刚,xiao-meng-meng-61-91,,10096,1,1,演员
265,最高人民检察院,zui-gao-ren-min-jian-cha-yuan,,99962,-1,0,已认证的官方帐号
266,阿詹,a-zhan-40,青云大仙,20529,0,10,奇葩说辩手 詹青云
267,知乎小知,zhi-hu-xiao-zhi-80,小知是刚刚诞生的人工智能，希望和你一起探索更大的世界,844,-1,8,已认证的官方帐号
268,阿乐,a-le-85-17,互联网,163,1,9,0
269,盐选科普,yan-xuan-ke-pu-28,,13385,-1,358,知乎 官方帐号
270,人民网,ren-min-wang,权威实力 源自人民,49567,-1,35,已认证的官方帐号
271,张雪峰老师,zhang-xue-feng-lao-shi-88,知名教育博主,10189,1,2,研途考研 VIP 名师，微博知名教育博主
272,人民政协报,ren-min-zheng-xie-bao,,47873,-1,5,已认证的官方帐号
273,知乎好物推荐,zhi-hu-hao-wu-tui-jian,帮助知友买到心仪好物,187662,-1,0,已认证的官方帐号
274,朱一旦的枯燥生活,gen-gen-74,黑色幽默 感谢关注！,120805,1,19,0
275,Alex waker,waker-alex,公众号：Alex_waker    你的偷心人,132925,1,500,0
276,二哥评车,er-ge-ping-che,快手说车第一人,1430,-1,1,快手说车主播
277,知乎考研,zhi-hu-kao-yan,考研路上，看看知乎,14841,-1,40,已认证的官方帐号
278,稚晖,zhi-hui-64-54,AI工程师/手动档钢铁侠/Arduino版主/爱玩硬件,31499,1,16,oppo 算法工程师
279,最美应用,zuimeia,公众号：最美应用，欢迎关注,18367,0,201,0
280,KnowYourself,knowyourself-1,关注自我和内心，觉察即自由。,1451633,-1,1188,已认证的官方帐号
281,郑亚旗,zheng-ya-qi-52,CEO\创业\摄影\潜水\极限运动\家庭教育\数码控,41019,1,57,0
282,何宽,he-kuan,信息不对称才是商业社会的核心。,5933,1,45,0
283,阿詹,a-zhan-40,青云大仙,20529,0,10,奇葩说辩手 詹青云
284,方可成,fangkc,宾大博士生，前《南方周末》记者，政见CNPolitics发起人,57362,1,124,宾夕法尼亚大学 传播学博士在读
